698,18
697,207
615,228
805,492
1247,429
856,446
647,253
848,376
465,317
307,285
813,513
1089,459
1062,614
997,608
852,344
850,498
834,492
482,676
1015,650
1004,348
1041,521
938,410
834,439
970,261
967,207
665,129
949,99
821,91
952,73
852,505
1056,627
804,533
921,566
1126,314
822,319
931,562
858,583
998,364
908,620
900,603
1231,631
1100,532
1055,541
920,473
805,479
690,495
522,498
1247,688
990,385
938,223
795,517
618,527
1026,304
999,631
773,503
806,607
773,343
581,497
727,285
938,629
