1148,680
934,530
812,482
763,447
737,414
726,424
747,430
758,435
752,428
750,432
764,432
766,432
772,460
767,466
750,450
748,450
758,454
774,467
751,461
763,455
753,451
741,466
726,453
705,459
709,452
720,471
716,444
713,470
711,466
736,466
748,449
733,442
731,464
730,450
719,431
701,444
706,449
708,473
707,476
706,467
714,470
708,463
721,462
736,458
747,475
734,476
720,463
715,444
694,439
670,443
673,454
667,453
681,477
677,478
674,479
685,472
668,471
698,465
722,466
729,464
751,452
777,456
798,467
827,451
853,450
847,451
854,442
870,455
879,456
879,453
878,453
865,448
893,439
887,447
906,454
914,465
914,475
904,475
896,452
893,454
886,462
897,452
881,473
876,466
863,474
845,470
818,455
803,471
818,467
807,471
819,454
822,476
843,484
813,456
808,444
814,440
829,450
812,465
823,474
831,475
827,486
839,489
831,483
820,479
809,464
816,498
810,494
831,464
832,471
834,483
823,476
821,465
815,456
819,477
815,474
806,463
787,472
797,476
800,478
786,470
784,464
782,451
773,461
787,463
769,444
738,452
725,456
721,456
705,476
691,481
688,486
649,483
671,504
671,509
668,515
680,519
707,518
718,529
709,536
719,532
706,529
738,548
720,537
711,529
711,519
719,502
755,495
750,508
781,518
793,525
827,515
860,503
869,517
877,517
907,534
911,525
924,530
930,544
922,531
931,524
932,532
928,531
929,530
926,532
908,532
906,541
923,546
913,545
916,537
913,534
907,520
891,519
891,520
901,520
899,524
907,526
900,531
880,526
885,521
864,517
811,525
823,516
815,513
823,524
810,520
791,525
782,539
801,542
820,549
831,539
815,555
818,554
831,553
817,537
817,544
826,544
818,545
807,546
803,542
806,550
815,549
808,556
822,551
821,546
815,552
812,552
823,559
833,548
812,539
830,547
796,518
795,514
780,513
767,520
769,525
708,506
689,510
654,497
635,496
567,498
518,490
511,490
520,497
566,515
539,502
688,524
621,518
610,510
631,527
609,526
654,539
646,553
589,539
570,546
603,527
740,552
660,525
639,507
626,491
664,502
697,500
737,502
867,501
872,493
861,497
854,511
883,519
911,526
913,523
943,526
948,532
959,527
954,543
956,537
961,532
969,541
957,522
964,537
966,545
963,554
934,527
905,519
916,532
871,518
859,519
866,506
830,522
830,521
842,524
818,511
836,517
848,524
860,528
879,544
859,544
862,554
846,524
869,544
854,543
836,552
857,548
845,541
836,540
817,529
802,531
820,536
814,523
831,528
825,537
842,534
850,538
827,541
